N_PS						Pod
04071065/2557/0000/2/0      06120162/2557/0000/2/0
04071066/2557/0000/2/0      11100027/2557/0001/2/0
04071067/2557/0000/2/0      09050187/2557/0000/4/0
04071115/2557/0000/2/0      12050005/2557/0001/4/0
04071116/2557/0000/2/0      09120161/2557/0000/2/0
04071117/2557/0000/2/0      09040026/2557/0000/1/0
04071118/2557/0000/2/0      10050052/2557/0000/4/0
04071119/2557/0000/2/0      11010064/2557/0000/2/0
04071357/2557/0000/2/0      07080129/2557/0000/2/0
04071672/2557/0000/2/0      09040196/2557/0000/2/0
04071673/2557/0000/2/0      10030100/2557/0000/4/0
04071674/2557/0000/2/0      10100275/2557/0000/4/0
04071675/2557/0000/2/0      11100016/2557/0000/2/0
04071676/2557/0000/2/0      10020034/2557/0000/2/0
04071677/2557/0000/2/0      11020123/2557/0000/2/0
04071678/2557/0000/2/0      11020174/2557/0000/4/0
04071679/2557/0000/2/0      09120027/2557/0000/9/0
04071723/2557/0000/2/0      10040003/2557/0000/1/0
04071724/2557/0000/2/0      06090068/2557/0000/4/0
04071725/2557/0000/2/0      12050001/2557/0001/4/0
04071726/2557/0000/2/0      10030137/2557/0000/2/0
04071727/2557/0000/2/0      11030015/2557/0000/4/0
04071728/2557/0000/2/0      11120202/2557/0000/4/0
04071729/2557/0000/2/0      12050010/2557/0001/4/0
04071730/2557/0000/2/0      10010043/2557/0000/1/0
04071731/2557/0000/2/0      07070008/2557/0000/1/0
04071732/2557/0000/2/0      12040187/2557/0000/2/0
04071733/2557/0000/2/0      10010044/2557/0000/1/0
04080017/2557/0000/1/0      11070043/2557/0000/4/0
04080090/2557/0000/4/0      09020129/2557/0000/3/0
04080095/2557/0000/2/0      11030181/2557/0000/4/0
04080101/2557/0000/4/0      11120119/2557/0000/1/0
04080114/2557/0000/4/0      11080033/2557/0000/1/0
04080131/2557/0000/2/0      10100366/2557/0000/4/0
04080132/2557/0000/2/0      11120101/2557/0000/1/0
04080133/2557/0000/2/0      11040032/2557/0000/4/0
04080202/2557/0000/2/0      12030043/2557/0000/4/0
04080203/2557/0000/2/0      07020193/2557/0000/2/0
04080204/2557/0000/2/0      08100018/2557/0000/9/0
04080205/2557/0000/2/0      11020028/2557/0001/2/0
04080240/2557/0000/4/0      08120165/2557/0000/4/0
04080272/2557/0000/2/0      04060149/2557/0000/2/0
04080273/2557/0000/2/0      11100003/2557/0000/9/0
04080274/2557/0000/2/0      09090101/2557/0000/3/0
04080353/2557/0000/2/0      11050048/2557/0000/4/0
04080354/2557/0000/1/0      08060007/2557/0000/9/0
04080419/2557/0000/2/0      08060143/2557/0000/2/0
04080432/2557/0000/2/0      08090009/2557/0000/9/0
04080470/2557/0000/2/0      08080001/2557/0000/9/0
04090077/2557/0000/4/0      10120098/2557/0000/4/0
04090099/2557/0000/2/0      11010039/2557/0001/2/0
04090102/2557/0000/4/0      12040032/2557/0001/2/0
04090110/2557/0000/2/0      11020247/2557/0000/2/0
04090127/2557/0000/4/0      11120159/2557/0000/2/0
04090129/2557/0000/4/0      09120009/2557/0000/9/0
04090155/2557/0000/4/0      12070006/2557/0001/2/0
04090156/2557/0000/4/0      11010164/2557/0000/4/0
04090157/2557/0000/4/0      11060068/2557/0000/2/0
04090193/2557/0000/4/0      11010021/2557/0000/1/0
04090205/2557/0000/4/0      09030010/2557/0000/9/0
04090217/2557/0000/2/0      12050002/2557/0001/9/0
04090265/2557/0000/4/0      10100052/2557/0000/3/0
04090321/2557/0000/4/0      11120112/2557/0000/4/0
04100035/2557/0000/1/0      12020083/2557/0000/4/0
04100036/2557/0000/1/0      11030057/2557/0000/4/0
04100055/2557/0000/4/0      08100022/2557/0000/9/0
04100056/2557/0000/4/0      11020085/2557/0000/1/0
04100057/2557/0000/4/0      10060288/2557/0000/4/0
04100058/2557/0000/1/0      08060050/2557/0000/4/0
04100058/2557/0000/4/0      11100033/2557/0000/4/0
04100063/2557/0000/4/0      08050012/2557/0000/9/0
04100076/2557/0000/2/0      11100125/2557/0000/4/0
04100165/2557/0000/2/0      04060015/2557/0000/2/0
04100166/2557/0000/2/0      12030092/2557/0000/1/0
04100226/2557/0000/4/0      08060048/2557/0000/4/0
04100237/2557/0000/4/0      09110059/2557/0000/4/0
04100244/2557/0000/4/0      10040028/2557/0001/2/0
04100245/2557/0000/4/0      10090188/2557/0000/2/0
04100253/2557/0000/4/0      12030054/2557/0000/1/0
04110003/2557/0000/2/0      08100023/2557/0000/9/0
04110028/2557/0000/4/0      11080044/2557/0000/3/0
04110051/2557/0000/2/0      10100069/2557/0000/4/0
04110073/2557/0000/2/0      12040001/2557/0001/9/0
04110073/2557/0000/4/0      09010027/2557/0000/2/0
04110102/2557/0000/4/0      07020023/2557/0000/2/0
04110118/2557/0000/4/0      10070004/2557/0001/2/0
04110119/2557/0000/4/0      12020074/2557/0000/2/0
04110173/2557/0000/4/0      11120073/2557/0000/4/0
04110185/2557/0000/2/0      10060022/2557/0001/2/0
04110232/2557/0000/4/0      09120140/2557/0000/2/0
04120045/2557/0000/4/0      09020065/2557/0000/2/0
04120088/2557/0000/4/0      10080187/2557/0000/2/0
04120089/2557/0000/4/0      12020064/2557/0000/2/0
04120114/2557/0000/4/0      07090006/2557/0000/1/0
04120141/2557/0000/4/0      12010001/2557/0000/1/0
04120190/2557/0000/2/0      11100023/2557/0000/2/0
04120238/2557/0000/4/0      12050001/2557/0000/4/0
04120260/2557/0000/4/0      06120006/2557/0001/2/0
05010110/2557/0000/2/0      08100025/2557/0001/2/0
05010130/2557/0000/4/0      10110002/2557/0001/6/0
05010131/2557/0000/4/0      08120086/2557/0000/1/0
05010159/2557/0000/4/0      09050217/2557/0000/3/0
05010189/2557/0000/4/0      10030258/2557/0000/3/0
05020013/2557/0000/4/0      11010062/2557/0000/4/0
05020014/2557/0000/4/0      11070020/2557/0000/3/0
05020021/2557/0000/4/0      11100087/2557/0000/4/0
05020040/2557/0000/4/0      10090201/2557/0000/3/0
05020042/2557/0000/1/0      10110246/2557/0000/4/0
05020053/2557/0000/4/0      09070127/2557/0000/2/0
05020065/2557/0000/2/0      12020070/2557/0000/2/0
05020070/2557/0000/4/0      07070119/2557/0000/3/0
05020075/2557/0000/4/0      12030157/2557/0000/2/0
05020080/2557/0000/4/0      08120018/2557/0001/2/0
05020106/2557/0000/2/0      10010001/2557/0001/6/0
05020113/2557/0000/4/0      10080045/2557/0000/1/0
05020153/2557/0000/4/0      11030002/2557/0001/6/0
05020154/2557/0000/4/0      12010034/2557/0000/3/0
05020159/2557/0000/2/0      12010071/2557/0000/2/0
05020181/2557/0000/4/0      12050021/2557/0000/1/0
05020182/2557/0000/4/0      11050125/2557/0000/4/0
05030020/2557/0000/4/0      12020100/2557/0000/2/0
05030022/2557/0000/4/0      09120031/2557/0000/3/0
05030037/2557/0000/4/0      12070047/2557/0000/2/0
05030038/2557/0000/4/0      04110087/2557/0000/4/0
05030039/2557/0000/4/0      09120084/2557/0000/2/0
05030055/2557/0000/1/0      10050054/2557/0000/3/0
05030172/2557/0000/4/0      10120122/2557/0000/2/0
05030189/2557/0000/4/0      12050003/2557/0001/9/0
05030192/2557/0000/2/0      10120009/2557/0001/1/0
05030198/2557/0000/4/0      05040336/2557/0000/3/0
05030228/2557/0000/4/0      06120050/2557/0000/2/0
05030229/2557/0000/4/0      10070045/2557/0000/3/0
05040042/2557/0000/4/0      09080169/2557/0000/4/0
05040088/2557/0000/4/0      06030065/2557/0000/2/0
05040089/2557/0000/4/0      11010183/2557/0000/2/0
05040198/2557/0000/4/0      11030176/2557/0000/2/0
05040210/2557/0000/4/0      07020163/2557/0000/3/0
05050025/2557/0000/2/0      11020221/2557/0000/2/0
05050036/2557/0000/1/0      10030194/2557/0000/3/0
05050081/2557/0000/4/0      11060040/2557/0000/4/0
05050115/2557/0000/2/0      12030108/2557/0000/1/0
05050135/2557/0000/2/0      08120064/2557/0000/1/0
05050140/2557/0000/4/0      11100055/2557/0000/1/0
05050165/2557/0000/4/0      12010023/2557/0000/1/0
05050208/2557/0000/4/0      10030010/2557/0001/4/0
05060017/2557/0000/4/0      11010090/2557/0000/2/0
05060018/2557/0000/4/0      11110068/2557/0000/3/0
05060025/2557/0000/4/0      10020072/2557/0000/2/0
05060034/2557/0000/4/0      12050055/2557/0000/3/0
05060038/2557/0000/2/0      10040166/2557/0000/2/0
05060071/2557/0000/2/0      12020001/2557/0000/4/0
05060162/2557/0000/2/0      08060067/2557/0000/2/0
05060163/2557/0000/2/0      10060171/2557/0000/2/0
05060193/2557/0000/2/0      06040089/2557/0000/2/0
05060231/2557/0000/4/0      10120188/2557/0000/2/0
05060232/2557/0000/4/0      07090008/2557/0001/1/0
05060233/2557/0000/4/0      12020002/2557/0000/2/0
05060234/2557/0000/4/0      09040058/2557/0000/2/0
05070085/2557/0000/2/0      08040141/2557/0000/2/0
05070137/2557/0000/2/0      05040340/2557/0000/3/0
05080020/2557/0000/4/0      09080015/2557/0000/2/0
05080168/2557/0000/4/0      12070046/2557/0000/4/0
05090001/2557/0000/2/0      12070074/2557/0000/2/0
05090037/2557/0000/4/0      12030018/2557/0000/2/0
05090041/2557/0000/4/0      11090040/2557/0000/3/0
05100019/2557/0000/4/0      08020203/2557/0000/3/0
05100043/2557/0000/2/0      10030327/2557/0000/3/0
05100070/2557/0000/4/0      12060075/2557/0000/1/0
05100122/2557/0000/4/0      12010002/2557/0000/1/0
05100139/2557/0000/2/0      12040018/2557/0000/2/0
05100140/2557/0000/2/0      10070231/2557/0000/3/0
05100155/2557/0000/4/0      10010154/2557/0000/2/0
05100170/2557/0000/4/0      08100047/2557/0000/1/0
05100171/2557/0000/4/0      10090060/2557/0000/1/0
05100194/2557/0000/4/0      12070084/2557/0000/4/0
05100199/2557/0000/4/0      11050041/2557/0000/4/0
05110004/2557/0000/2/0      07070011/2557/0000/1/0
05110019/2557/0000/2/0      11070032/2557/0000/4/0
05110041/2557/0000/1/0      12040012/2557/0000/3/0
05110043/2557/0000/4/0      07050052/2557/0000/1/0
05110106/2557/0000/4/0      12070001/2557/0001/4/0
05110170/2557/0000/2/0      12040016/2557/0000/2/0
05110204/2557/0000/2/0      10090032/2557/0000/3/0
05120018/2557/0000/4/0      11090012/2557/0000/2/0
05120033/2557/0000/4/0      11040063/2557/0000/1/0
05120131/2557/0000/4/0      11070020/2557/0000/2/0
05120132/2557/0000/4/0      10050036/2557/0000/2/0
05120133/2557/0000/4/0      11010008/2557/0000/2/0
05120177/2557/0000/4/0      10120287/2557/0000/4/0
05120179/2557/0000/4/0      08060135/2557/0000/2/0
05120189/2557/0000/4/0      08010111/2557/0000/2/0
05120214/2557/0000/2/0      07040032/2557/0000/2/0
05120219/2557/0000/2/0      10050198/2557/0000/2/0
05120220/2557/0000/2/0      09010088/2557/0000/2/0
05120233/2557/0000/4/0      10040169/2557/0000/2/0
05120234/2557/0000/4/0      07090006/2557/0001/1/0
06010012/2557/0000/1/0      12030184/2557/0000/2/0
06010013/2557/0000/1/0      12040054/2557/0000/2/0
06010022/2557/0000/1/0      08060236/2557/0000/4/0
06010023/2557/0000/2/0      08010068/2557/0000/2/0
06010026/2557/0000/1/0      12060078/2557/0000/2/0
06010026/2557/0000/4/0      10080009/2557/0001/3/0
06010035/2557/0000/4/0      10090276/2557/0000/4/0
06010036/2557/0000/4/0      07090009/2557/0001/1/0
06010081/2557/0000/4/0      11080004/2557/0001/4/0
06010096/2557/0000/4/0      11070026/2557/0000/2/0
06020031/2557/0000/4/0      11020242/2557/0000/2/0
06020047/2557/0000/3/0      12050103/2557/0000/4/0
06020133/2557/0000/2/0      11010191/2557/0000/4/0
06030049/2557/0000/1/0      09010176/2557/0000/2/0
06030090/2557/0000/4/0      12030001/2557/0001/3/0
06030189/2557/0000/2/0      08110031/2557/0001/4/0
06030283/2557/0000/4/0      10050126/2557/0000/2/0
06040051/2557/0000/4/0      08100002/2557/0000/2/0
06040053/2557/0000/4/0      11040070/2557/0000/2/0
06040067/2557/0000/4/0      10010087/2557/0000/2/0
06040126/2557/0000/4/0      11020037/2557/0001/4/0
06040146/2557/0000/4/0      10040206/2557/0000/2/0
06040175/2557/0000/4/0      09010041/2557/0000/2/0
06040176/2557/0000/4/0      07100107/2557/0000/2/0
06040181/2557/0000/2/0      11090107/2557/0000/4/0
06040182/2557/0000/2/0      12040122/2557/0000/4/0
06040205/2557/0000/2/0      08080029/2557/0000/1/0
06050103/2557/0000/4/0      12010052/2557/0000/1/0
06050163/2557/0000/4/0      08040026/2557/0001/4/0
06050183/2557/0000/4/0      11100075/2557/0000/4/0
06060004/2557/0000/2/0      11080028/2557/0000/1/0
06060020/2557/0000/4/0      08110301/2557/0000/4/0
06060025/2557/0000/2/0      10120208/2557/0000/2/0
06060077/2557/0000/4/0      08020137/2557/0000/2/0
06060197/2557/0000/4/0      09040019/2557/0000/4/0
06060240/2557/0000/4/0      08040165/2557/0000/4/0
06070029/2557/0000/1/0      12060048/2557/0000/1/0
06070030/2557/0000/1/0      11070114/2557/0000/4/0
06070033/2557/0000/1/0      10020187/2557/0000/2/0
06070061/2557/0000/2/0      11110025/2557/0000/2/0
06070143/2557/0000/2/0      11100018/2557/0000/3/0
06070213/2557/0000/4/0      11030031/2557/0000/2/0
06080008/2557/0000/2/0      11010002/2557/0000/1/0
06080010/2557/0000/9/0      09090007/2557/0001/3/0
06080052/2557/0000/1/0      06080300/2557/0000/4/0
06080109/2557/0000/2/0      11110129/2557/0000/2/0
06080182/2557/0000/4/0      09050139/2557/0000/2/0
06080272/2557/0000/2/0      11030150/2557/0000/2/0
06080273/2557/0000/4/0      11020228/2557/0000/2/0
06080287/2557/0000/4/0      10110255/2557/0000/2/0
06080288/2557/0000/4/0      10060005/2557/0001/1/0
06090059/2557/0000/1/0      09100009/2557/0001/1/0
06090117/2557/0000/2/0      09060008/2557/0001/1/0
06090133/2557/0000/2/0      11050009/2557/0001/1/0
06090145/2557/0000/4/0      11110028/2557/0000/2/0
06090150/2557/0000/4/0      07020054/2557/0000/2/0
06090177/2557/0000/2/0      11100068/2557/0000/4/0
06090218/2557/0000/4/0      07110003/2557/0001/6/0
06100002/2557/0000/2/0      09040030/2557/0000/1/0
06100002/2557/0000/5/0      11080042/2557/0000/2/0
06100018/2557/0000/2/0      07100021/2557/0000/1/0
06100062/2557/0000/1/0      06070041/2557/0000/4/0
06100123/2557/0000/4/0      11120129/2557/0000/2/0
06100139/2557/0000/4/0      12020077/2557/0000/3/0
06100158/2557/0000/2/0      12060157/2557/0000/2/0
06100258/2557/0000/4/0      09050145/2557/0000/2/0
06110044/2557/0000/4/0      09030020/2557/0000/2/0
06110048/2557/0000/2/0      12010001/2557/0000/2/0
06110076/2557/0000/2/0      11080125/2557/0000/2/0
06110078/2557/0000/2/0      09110123/2557/0000/3/0
06110106/2557/0000/2/0      08070007/2557/0001/1/0
06110112/2557/0000/2/0      08070010/2557/0001/1/0
06110123/2557/0000/4/0      08080008/2557/0001/1/0
06110191/2557/0000/4/0      08080010/2557/0001/1/0
06110196/2557/0000/4/0      08120003/2557/0001/1/0
06110217/2557/0000/4/0      08120011/2557/0001/1/0
06110223/2557/0000/4/0      09050007/2557/0001/1/0
06120033/2557/0000/2/0      10040005/2557/0001/1/0
06120056/2557/0000/1/0      10080002/2557/0001/1/0
06120089/2557/0000/2/0      10080006/2557/0001/1/0
06120148/2557/0000/4/0      11030004/2557/0001/1/0
06120158/2557/0000/2/0      12040003/2557/0001/1/0
06120162/2557/0000/2/0      12010001/2557/0001/9/0
06120226/2557/0000/4/0      12030005/2557/0001/1/0
06120253/2557/0000/4/0      12040006/2557/0001/1/0
06120319/2557/0000/4/0      10120243/2557/0000/2/0
06120337/2557/0000/4/0      11080007/2557/0001/1/0
07010001/2557/0000/1/0      09030017/2557/0001/4/0
07010002/2557/0000/1/0      12050122/2557/0000/4/0
07010034/2557/0000/2/0      11020204/2557/0000/4/0
07010037/2557/0000/4/0      11010002/2557/0001/9/0
07010044/2557/0000/4/0      09090073/2557/0000/2/0
07010157/2557/0000/4/0      12060049/2557/0000/2/0
07010168/2557/0000/2/0      12030090/2557/0000/4/0
07010181/2557/0000/2/0      04071012/2557/0000/2/0
07020045/2557/0000/4/0      06050058/2557/0000/2/0
07020082/2557/0000/4/0      10060051/2557/0000/2/0
07020088/2557/0000/2/0      11090103/2557/0000/3/0
07030020/2557/0000/4/0      12070035/2557/0000/2/0
07030172/2557/0000/2/0      12030097/2557/0000/2/0
07030173/2557/0000/4/0      12060145/2557/0000/2/0
07030196/2557/0000/2/0      12020230/2557/0000/2/0
07030225/2557/0000/2/0      06070062/2557/0000/2/0
07030226/2557/0000/4/0      04070167/2557/0000/1/0
07030227/2557/0000/4/0      11120104/2557/0000/4/0
07040023/2557/0000/1/0      12040027/2557/0001/4/0
07040024/2557/0000/1/0      05060003/2557/0000/2/0
07040026/2557/0000/1/0      11120083/2557/0000/4/0
07040027/2557/0000/1/0      10090043/2557/0000/3/0
07040030/2557/0000/4/0      09100032/2557/0001/4/0
07040031/2557/0000/1/0      11070113/2557/0000/4/0
07040031/2557/0000/4/0      11010012/2557/0000/2/0
07040053/2557/0000/1/0      12060086/2557/0000/2/0
07040054/2557/0000/1/0      09110019/2557/0001/4/0
07040055/2557/0000/1/0      11070035/2557/0000/3/0
07040056/2557/0000/1/0      05060047/2557/0000/9/0
07040057/2557/0000/1/0      11030122/2557/0000/2/0
07040059/2557/0000/4/0      10080189/2557/0000/2/0
07040060/2557/0000/1/0      07050068/2557/0000/2/0
07040060/2557/0000/4/0      09010046/2557/0000/2/0
07040061/2557/0000/1/0      11040127/2557/0000/4/0
07040062/2557/0000/1/0      12030006/2557/0000/2/0
07040113/2557/0000/4/0      04070168/2557/0000/1/0
07040166/2557/0000/2/0      10060031/2557/0000/2/0
07040168/2557/0000/4/0      09110163/2557/0000/3/0
07040182/2557/0000/4/0      09120383/2557/0000/4/0
07040196/2557/0000/4/0      12040079/2557/0000/2/0
07040249/2557/0000/4/0      10080357/2557/0000/4/0
07050016/2557/0000/1/0      06080255/2557/0000/4/0
07050022/2557/0000/2/0      11060013/2557/0000/3/0
07050025/2557/0000/4/0      12060066/2557/0000/1/0
07050042/2557/0000/1/0      12040057/2557/0000/2/0
07050045/2557/0000/1/0      12020127/2557/0000/4/0
07050095/2557/0000/2/0      12030118/2557/0000/2/0
07050132/2557/0000/2/0      10030195/2557/0000/3/0
07050155/2557/0000/4/0      09060193/2557/0000/4/0
07050157/2557/0000/4/0      12030073/2557/0000/4/0
07050173/2557/0000/4/0      12030058/2557/0000/4/0
07050196/2557/0000/2/0      04110221/2557/0000/4/0
07050239/2557/0000/4/0      12010001/2557/0001/3/0
07060003/2557/0000/2/0      12010002/2557/0001/3/0
07060025/2557/0000/1/0      12010003/2557/0001/3/0
07060036/2557/0000/1/0      10110184/2557/0000/2/0
07060116/2557/0000/2/0      11100030/2557/0001/2/0
07060160/2557/0000/2/0      10120071/2557/0000/2/0
07060191/2557/0000/2/0      12020018/2557/0000/2/0
07060213/2557/0000/4/0      07110198/2557/0000/3/0
07060215/2557/0000/4/0      05030060/2557/0000/4/0
07060244/2557/0000/4/0      07070204/2557/0000/2/0
07060260/2557/0000/4/0      10040140/2557/0000/2/0
07060270/2557/0000/4/0      09020030/2557/0000/4/0
07070011/2557/0000/9/0      08040176/2557/0000/3/0
07070014/2557/0000/9/0      12060105/2557/0000/4/0
07070057/2557/0000/1/0      12040133/2557/0000/4/0
07070067/2557/0000/2/0      09010002/2557/0001/1/0
07070117/2557/0000/2/0      10050076/2557/0000/3/0
07070255/2557/0000/4/0      11040079/2557/0000/2/0
07080015/2557/0000/4/0      07060064/2557/0000/2/0
07080016/2557/0000/4/0      12020027/2557/0001/4/0
07080050/2557/0000/4/0      08060007/2557/0001/1/0
07080063/2557/0000/1/0      08070138/2557/0000/2/0
07080068/2557/0000/2/0      11030041/2557/0000/3/0
07080069/2557/0000/2/0      10060010/2557/0001/1/0
07080081/2557/0000/2/0      10010107/2557/0000/3/0
07080091/2557/0000/4/0      10010021/2557/0000/1/0
07090006/2557/0000/1/0      05040331/2557/0000/3/0
07090007/2557/0000/1/0      11060049/2557/0000/2/0
07090054/2557/0000/2/0      07110180/2557/0000/3/0
07090130/2557/0000/4/0      11120025/2557/0000/3/0
07090158/2557/0000/2/0      08030041/2557/0000/2/0
07090188/2557/0000/2/0      10090094/2557/0000/2/0
07100016/2557/0000/1/0      11070079/2557/0000/3/0
07100041/2557/0000/4/0      11050001/2557/0001/4/0
07100044/2557/0000/4/0      10030282/2557/0000/3/0
07100049/2557/0000/1/0      10120006/2557/0001/9/0
07100084/2557/0000/4/0      09020045/2557/0000/4/0
07100085/2557/0000/4/0      11010060/2557/0000/2/0
07100108/2557/0000/4/0      09040007/2557/0001/1/0
07100115/2557/0000/4/0      08100024/2557/0000/2/0
07100189/2557/0000/4/0      12020003/2557/0001/3/0
07100190/2557/0000/4/0      10080229/2557/0000/4/0
07100242/2557/0000/4/0      12040009/2557/0001/1/0
07110014/2557/0000/4/0      10030048/2557/0000/3/0
07110016/2557/0000/4/0      11080101/2557/0000/2/0
07110082/2557/0000/4/0      07080158/2557/0000/4/0
07110095/2557/0000/2/0      12030028/2557/0000/2/0
07110104/2557/0000/2/0      10010057/2557/0000/1/0
07110120/2557/0000/4/0      05040202/2557/0000/3/0
07110153/2557/0000/2/0      07120012/2557/0000/2/0
07110154/2557/0000/2/0      08010174/2557/0000/2/0
07110175/2557/0000/2/0      09040014/2557/0000/6/0
07110192/2557/0000/4/0      04070895/2557/0000/2/0
07110262/2557/0000/4/0      07120125/2557/0000/3/0
07110263/2557/0000/4/0      09080014/2557/0000/2/0
07120097/2557/0000/2/0      05040292/2557/0000/3/0
07120206/2557/0000/4/0      06120085/2557/0000/3/0
07120248/2557/0000/4/0      09050003/2557/0001/4/0
07120280/2557/0000/4/0      10090045/2557/0000/3/0
07120306/2557/0000/2/0      07070093/2557/0000/3/0
07120325/2557/0000/3/0      07050004/2557/0000/6/0
08010004/2557/0000/4/0      05040343/2557/0000/3/0
08010031/2557/0000/1/0      10120002/2557/0001/2/0
08010114/2557/0000/4/0      11010003/2557/0000/2/0
08010152/2557/0000/4/0      12010041/2557/0000/2/0
08020019/2557/0000/4/0      07070121/2557/0000/3/0
08020021/2557/0000/4/0      12010026/2557/0000/3/0
08020041/2557/0000/4/0      10050171/2557/0000/3/0
08020068/2557/0000/4/0      11060118/2557/0000/2/0
08020074/2557/0000/4/0      12050021/2557/0000/2/0
08020075/2557/0000/4/0      06020002/2557/0001/1/0
08020140/2557/0000/2/0      04080276/2557/0000/3/0
08020150/2557/0000/2/0      09110140/2557/0000/3/0
08020151/2557/0000/2/0      06110015/2557/0000/2/0
08020168/2557/0000/4/0      11060083/2557/0000/3/0
08020336/2557/0000/4/0      12010103/2557/0000/2/0
08020360/2557/0000/4/0      04071163/2557/0000/2/0
08020374/2557/0000/4/0      08020022/2557/0000/3/0
08030013/2557/0000/9/0      11020002/2557/0001/4/0
08030055/2557/0000/1/0      12010022/2557/0000/2/0
08030067/2557/0000/2/0      12060096/2557/0000/2/0
08030111/2557/0000/2/0      12020010/2557/0000/9/0
08030112/2557/0000/2/0      09030141/2557/0000/2/0
08030126/2557/0000/2/0      04100024/2557/0001/2/0
08030189/2557/0000/2/0      09080156/2557/0000/2/0
08030190/2557/0000/2/0      12050051/2557/0000/1/0
08030193/2557/0000/2/0      04080483/2557/0000/2/0
08040007/2557/0000/2/0      11020001/2557/0001/4/0
08040008/2557/0000/1/0      12030049/2557/0000/1/0
08040014/2557/0000/4/0      09120192/2557/0000/2/0
08040026/2557/0000/1/0      10010170/2557/0000/4/0
08040042/2557/0000/2/0      10020037/2557/0000/2/0
08040043/2557/0000/2/0      12070040/2557/0000/2/0
08040048/2557/0000/2/0      06030199/2557/0000/4/0
08040061/2557/0000/2/0      11080117/2557/0000/3/0
08040088/2557/0000/2/0      11010161/2557/0000/4/0
08040094/2557/0000/2/0      11110057/2557/0000/2/0
08040172/2557/0000/4/0      12030059/2557/0000/3/0
08040224/2557/0000/4/0      10060161/2557/0000/3/0
08040240/2557/0000/4/0      10010197/2557/0000/2/0
08040263/2557/0000/4/0      10110220/2557/0000/2/0
08040264/2557/0000/4/0      04060083/2557/0000/2/0
08040268/2557/0000/4/0      12060018/2557/0000/1/0
08040283/2557/0000/4/0      12020017/2557/0000/2/0
08040284/2557/0000/4/0      11010186/2557/0000/2/0
08050003/2557/0000/1/0      05100001/2557/0000/2/0
08050003/2557/0000/2/0      10010060/2557/0000/2/0
08050009/2557/0000/4/0      07120058/2557/0000/4/0
08050033/2557/0000/4/0      09030005/2557/0000/2/0
08050048/2557/0000/2/0      10120253/2557/0000/2/0
08050156/2557/0000/2/0      12050189/2557/0000/2/0
08050157/2557/0000/2/0      04071344/2557/0000/2/0
08050158/2557/0000/4/0      04070894/2557/0000/2/0
08050162/2557/0000/2/0      10040105/2557/0000/2/0
08050168/2557/0000/2/0      09120032/2557/0000/1/0
08050171/2557/0000/4/0      12060047/2557/0000/1/0
08050176/2557/0000/4/0      08050085/2557/0000/2/0
08050237/2557/0000/4/0      08050041/2557/0001/4/0
08060006/2557/0000/2/0      11110076/2557/0000/2/0
08060008/2557/0000/2/0      08110072/2557/0000/2/0
08060013/2557/0000/2/0      12020058/2557/0000/1/0
08060080/2557/0000/2/0      12010017/2557/0001/4/0
08060097/2557/0000/2/0      12040193/2557/0000/2/0
08060157/2557/0000/2/0      11100003/2557/0001/9/0
08060159/2557/0000/2/0      11120002/2557/0001/9/0
08060181/2557/0000/4/0      11050020/2557/0000/2/0
08060193/2557/0000/2/0      11120163/2557/0000/4/0
08060280/2557/0000/4/0      12030056/2557/0000/2/0
08070007/2557/0000/1/0      07020161/2557/0000/2/0
08070010/2557/0000/9/0      09070010/2557/0000/1/0
08070021/2557/0000/2/0      10070239/2557/0000/2/0
08070025/2557/0000/4/0      08070004/2557/0000/6/0
08070033/2557/0000/4/0      10060170/2557/0000/2/0
08070052/2557/0000/2/0      09030092/2557/0000/2/0
08070054/2557/0000/1/0      11080138/2557/0000/4/0
08070058/2557/0000/2/0      07120112/2557/0000/2/0
08070085/2557/0000/2/0      09120036/2557/0000/1/0
08070094/2557/0000/4/0      11010014/2557/0000/2/0
08070097/2557/0000/2/0      11030002/2557/0000/3/0
08070105/2557/0000/2/0      12010010/2557/0000/6/0
08070107/2557/0000/2/0      04090002/2557/0000/3/0
08070110/2557/0000/2/0      10030314/2557/0000/2/0
08070120/2557/0000/4/0      12070058/2557/0000/4/0
08070140/2557/0000/2/0      10050225/2557/0000/4/0
08070156/2557/0000/4/0      09010225/2557/0000/4/0
08070159/2557/0000/2/0      11110017/2557/0001/2/0
08070181/2557/0000/2/0      11110021/2557/0001/2/0
08070182/2557/0000/2/0      12060022/2557/0000/4/0
08070207/2557/0000/2/0      11110002/2557/0001/9/0
08070265/2557/0000/4/0      11120164/2557/0000/2/0
08080029/2557/0000/1/0      11070021/2557/0001/2/0
08080119/2557/0000/4/0      11110001/2557/0001/9/0
08080143/2557/0000/4/0      04070292/2557/0001/2/0
08080185/2557/0000/4/0      09110007/2557/0001/2/0
08080199/2557/0000/4/0      04070161/2557/0001/2/0
08080201/2557/0000/4/0      12050157/2557/0000/4/0
08080226/2557/0000/4/0      11110016/2557/0001/2/0
08080251/2557/0000/4/0      09080025/2557/0000/4/0
08080256/2557/0000/4/0      11110112/2557/0000/2/0
08080310/2557/0000/4/0      11110018/2557/0001/2/0
08090015/2557/0000/2/0      11110020/2557/0001/2/0
08090046/2557/0000/2/0      06060013/2557/0000/2/0
08090062/2557/0000/4/0      10030147/2557/0000/3/0
08090095/2557/0000/2/0      07080023/2557/0001/2/0
